-23	-96	-15	1	-1
26	-96	-15	2	-1
23	27	-12	3	-1
-53	-45	-24	4	-1
8	36	-18	5	-1
-20	-24	-18	6	-1
17	-30	-15	7	-1
-35	-30	-24	8	-1
62	-27	-15	9	-1
50	-36	-24	10	-1
53	-33	-14	11	-1
32	33	-6	12	-1
-8	-54	57	13	1
-14	-21	39	14	1
-1	-18	46	15	1
8	-6	45	16	1
-8	-24	63	17	1
-8	-36	69	18	1
11	-36	72	19	1
-52	-25	41	20	1
26	-21	69	21	1
8	-48	69	22	1
-23	-33	69	23	1
-39	-22	52	24	1
26	-42	57	25	1
47	-24	42	26	1
-38	-30	66	27	1
18	-32	58	28	1
41	-12	57	29	1
-29	-45	57	30	1
8	-21	72	31	1
20	-45	66	32	1
-44	-34	44	33	1
-21	-34	58	34	1
-14	-21	72	35	1
39	-24	54	36	1
-38	-18	66	37	1
-17	-48	69	38	1
1	-31	58	39	1
2	-21	57	40	1
35	-21	45	41	1
-48	-14	34	42	2
34	-13	16	43	2
48	-10	34	44	2
-51	-13	24	45	2
62	-12	27	46	2
-4	-2	53	47	3
51	-31	34	48	3
17	-12	63	49	3
-17	-9	69	50	3
-11	-6	42	51	3
35	-3	0	52	3
11	-6	69	53	3
5	3	51	54	3
-43	-3	10	55	3
47	4	3	56	3
-33	0	6	57	3
-49	5	0	58	3
-6	13	36	59	3
34	6	5	60	3
30	-29	14	61	4
62	-36	21	62	4
55	-19	10	63	4
-37	-35	16	64	4
-58	-27	13	65	4
-47	-28	5	66	4
41	-26	21	67	4
-48	-36	24	68	4
-51	-24	22	69	4
-53	-12	12	70	4
53	-9	16	71	4
56	-21	30	72	4
-29	-29	12	73	4
-39	-75	22	74	5
5	60	3	75	5
8	42	-9	76	5
-12	-41	1	77	5
-17	57	-3	78	5
-44	-61	18	79	5
41	-73	26	80	5
-41	9	-30	81	5
44	12	-24	82	5
-65	-24	-15	83	5
-55	-27	-14	84	-1
26	12	-12	85	-1
-43	-65	31	86	5
-38	-75	39	87	5
-7	-56	25	88	5
5	-60	33	89	5
-11	-57	14	90	5
-3	-50	12	91	5
7	-50	29	92	5
14	-64	24	93	5
-3	-39	42	94	5
10	-55	16	95	5
49	-61	34	96	5
21	27	50	97	5
-11	33	54	98	5
-17	23	54	99	5
-35	15	51	100	5
20	33	42	101	5
11	48	42	102	5
-11	48	42	103	5
-20	39	42	104	5
5	48	21	105	5
5	57	27	106	5
-7	45	4	107	5
8	48	9	108	5
-3	39	-4	109	5
7	37	0	110	5
-11	39	12	111	5
-3	32	39	112	5
-3	36	20	113	5
-20	57	24	114	5
-8	42	27	115	5
62	-15	-15	116	5
-53	-15	-9	117	5
-55	-31	-4	118	5
62	-33	-6	119	5
-65	-42	-6	120	5
11	24	60	121	5
11	30	24	122	5
50	-6	-12	123	5
-25	-41	-8	124	5
26	-39	-11	125	5
-32	-39	-15	126	5
28	-76	-31	127	5
50	3	-24	128	5
-50	0	-24	129	5
44	-52	28	130	5
-47	-43	0	131	5
-29	15	-15	132	-1
-3	-37	30	133	6
-7	-72	38	134	6
10	-67	39	135	6
